eng_name	fin_name	category	word_class
dog	koira	animal	noun
horse	hevonen	animal	noun
duck	ankka	animal	noun
eagle	kotka	animal	noun
cat	kissa	animal	noun
lion	leijona	animal	noun
mouse	hiiri	animal	noun
bear	karhu	animal	noun
wolf	susi	animal	noun
sheep	lammas	animal	noun
back	selkä	bodypart	noun
hand	käsi	bodypart	noun
eye	silmä	bodypart	noun
leg	jalka	bodypart	noun
ear	korva	bodypart	noun
mouth	suu	bodypart	noun
toe	varvas	bodypart	noun
finger	sormi	bodypart	noun
nose	nenä	bodypart	noun
lip	huuli	bodypart	noun
church	kirkko	building	noun
factory	tehdas	building	noun
castle	linna	building	noun
bridge	silta	building	noun
jail	vankila	building	noun
tower	torni	building	noun
library	kirjasto	building	noun
museum	museo	building	noun
temple	temppeli	building	noun
king	kuningas	human	noun
soldier	sotilas	human	noun
police	poliisi	human	noun
prisoner	vanki	human	noun
priest	pappi	human	noun
teacher	opettaja	human	noun
physician	lääkäri	human	noun
judge	tuomari	human	noun
child	lapsi	human	noun
fire	tuli	nature	noun
river	joki	nature	noun
island	saari	nature	noun
sea	meri	nature	noun
park	puisto	nature	noun
mountain	vuori	nature	noun
rock	kallio	nature	noun
wave	aalto	nature	noun
cloud	pilvi	nature	noun
nest	pesä	nature	noun
book	kirja	tool	noun
ball	pallo	sport	noun
saw	saha	tool	noun
ring	sormus	clothing	noun
scissors	sakset	tool	noun
drill	pora	tool	noun
spoon	lusikka	tool	noun
shovel	lapio	tool	noun
comb	kampa	tool	noun
car	auto	vehicle	noun
ship	laiva	vehicle	noun
train	juna	vehicle	noun
boat	vene	vehicle	noun
bus	bussi	vehicle	noun
truck	rekka	vehicle	noun
ideology	aate	abstract_high	noun
timing	ajoitus	abstract_high	noun
review	arvio	abstract_high	noun
advantage	etu	abstract_high	noun
history	historia	abstract_high	noun
age	ikä	abstract_high	noun
phenomenon	ilmiö	abstract_high	noun
inflation	inflaatio	abstract_high	noun
beauty	kauneus	abstract_high	noun
faith	kohtalo	abstract_high	noun
experience	kokemus	abstract_high	noun
logic	logiikka	abstract_high	noun
reputation	maine	abstract_high	noun
merit	meriitti	abstract_high	noun
meaning	merkitys	abstract_high	noun
change	muutos	abstract_high	noun
quantity	määrä	abstract_high	noun
youth	nuoruus	abstract_high	noun
problem	ongelma	abstract_high	noun
freedom	vapaus	abstract_high	noun
money	raha	abstract_high	noun
democracy	demokratia	abstract_high	noun
investment	sijoitus	abstract_high	noun
will	tahto	abstract_high	noun
magic	taika	abstract_high	noun
break	tauko	abstract_high	noun
power	teho	abstract_high	noun
power	valta	abstract_high	noun
knowledge	tieto	abstract_high	noun
reason	järki	abstract_high	noun
morning	aamu	abstract_mid	noun
army	armeija	abstract_mid	noun
bacterium	bakteeri	abstract_mid	noun
oxygen	happi	abstract_mid	noun
price	hinta	abstract_mid	noun
expression	ilme	abstract_mid	noun
evening	ilta	abstract_mid	noun
infection	infektio	abstract_mid	noun
internet	internet	abstract_mid	noun
team	joukkue	abstract_mid	noun
friction	kitka	abstract_mid	noun
size	koko	abstract_mid	noun
song	laulu	abstract_mid	noun
game	leikki	abstract_mid	noun
appendix	liite	abstract_mid	noun
nature	luonto	abstract_mid	noun
marking	merkintä	abstract_mid	noun
hunting	metsästys	abstract_mid	noun
music	musiikki	abstract_mid	noun
play	näytelmä	abstract_mid	noun
pressure	paine	abstract_mid	noun
weight	paino	abstract_mid	noun
speech	puhe	abstract_mid	noun
eruption	purkaus	abstract_mid	noun
poem	runo	abstract_mid	noun
background	tausta	abstract_mid	noun
work	teos	abstract_mid	noun
evidence	todiste	abstract_mid	noun
gene	geeni	abstract_mid	noun
